repo_id,repo_owner,repo_name,created_at,project_size,num_forks,default_branch,last_update,repo_url,teammate
15698466,apache,jclouds,2014-01-07T08:00:06Z,81925,139,master,2025-01-22T04:54:28Z,https://github.com/apache/jclouds,sophie
10472781,apache,deltaspike,2013-06-04T07:00:12Z,10605,136,master,2025-01-25T07:03:31Z,https://github.com/apache/deltaspike,sophie
53566183,apache,incubator-retired-edgent,2016-03-10T08:00:06Z,25183,135,develop,2025-01-03T21:45:08Z,https://github.com/apache/incubator-retired-edgent,sophie
206350,apache,cayenne,2009-05-21T01:05:37Z,93653,134,master,2025-01-31T13:37:03Z,https://github.com/apache/cayenne,sophie
206364,apache,openjpa,2009-05-21T01:13:25Z,38861,134,master,2025-02-06T18:54:16Z,https://github.com/apache/openjpa,sophie
206452,apache,roller,2009-05-21T02:42:21Z,301652,131,master,2025-02-01T00:15:50Z,https://github.com/apache/roller,sophie
19932015,apache,gora,2014-05-19T07:00:07Z,11944,129,master,2024-12-16T16:31:48Z,https://github.com/apache/gora,sophie
46776191,apache,unomi,2015-11-24T08:00:05Z,30283,129,master,2025-02-03T10:02:38Z,https://github.com/apache/unomi,sophie
16338711,apache,airavata,2014-01-29T08:00:06Z,135744,120,master,2025-01-26T15:49:58Z,https://github.com/apache/airavata,sophie
68273151,apache,incubator-hivemall,2016-09-15T07:00:08Z,14466,117,master,2024-11-30T02:08:28Z,https://github.com/apache/incubator-hivemall,sophie
68273151,apache,incubator-hivemall,2016-09-15T07:00:08Z,14466,117,master,2024-11-30T02:08:28Z,https://github.com/apache/incubator-hivemall,sophie
20432793,apache,stratos,2014-06-03T07:00:07Z,67395,115,master,2024-12-31T08:29:06Z,https://github.com/apache/stratos,sophie
11543457,apache,falcon,2013-07-20T07:00:14Z,31743,111,master,2025-01-20T06:28:48Z,https://github.com/apache/falcon,sophie
17971138,apache,tajo,2014-03-21T07:00:07Z,30703,110,master,2025-01-03T21:43:59Z,https://github.com/apache/tajo,sophie
29903688,apache,incubator-samoa,2015-01-27T08:00:05Z,6046,106,master,2024-10-25T21:02:25Z,https://github.com/apache/incubator-samoa,sophie
161005,apache,jspwiki,2009-03-27T15:41:58Z,105682,102,master,2025-02-05T06:37:29Z,https://github.com/apache/jspwiki,sophie
25623941,apache,reef,2014-10-23T07:00:10Z,40270,96,master,2024-07-04T23:45:11Z,https://github.com/apache/reef,sophie
26525416,apache,lens,2014-11-12T08:00:06Z,18225,94,master,2024-07-23T20:43:16Z,https://github.com/apache/lens,sophie
22781134,apache,celix,2014-08-09T07:00:07Z,20873,91,master,2025-01-14T14:04:09Z,https://github.com/apache/celix,sophie
206477,apache,buildr,2009-05-21T03:16:15Z,9354,88,master,2024-12-23T08:40:20Z,https://github.com/apache/buildr,sophie
54767260,apache,sentry,2016-03-26T07:00:07Z,10594,88,master,2024-11-10T04:02:50Z,https://github.com/apache/sentry,sophie
206479,apache,qpid,2009-05-21T03:17:04Z,214977,86,trunk,2024-11-11T02:11:40Z,https://github.com/apache/qpid,sophie
178461625,apache,incubator-tuweni,2019-03-29T19:02:36Z,61187,83,main,2025-01-19T12:12:14Z,https://github.com/apache/incubator-tuweni,sophie
6290993,apache,crunch,2012-10-19T07:00:12Z,7595,80,master,2024-03-31T14:13:08Z,https://github.com/apache/crunch,sophie
43734923,apache,rya,2015-10-06T07:00:05Z,8747,75,master,2025-01-02T21:45:37Z,https://github.com/apache/rya,sophie
205402,apache,spamassassin,2009-05-20T01:47:48Z,82753,75,trunk,2025-02-07T02:48:38Z,https://github.com/apache/spamassassin,sophie
63931184,apache,distributedlog,2016-07-22T07:00:06Z,11827,74,master,2024-10-16T11:38:35Z,https://github.com/apache/distributedlog,sophie
1158315,apache,stanbol,2010-12-11T08:00:07Z,83326,74,trunk,2025-01-22T15:07:44Z,https://github.com/apache/stanbol,sophie
101730006,apache,daffodil,2017-08-29T07:00:10Z,182325,73,main,2025-02-06T22:47:20Z,https://github.com/apache/daffodil,sophie
10805187,apache,fluo,2013-06-19T20:14:05Z,4517,72,main,2024-11-25T22:06:14Z,https://github.com/apache/fluo,sophie
860937,apache,hama,2010-08-25T07:00:06Z,60551,71,master,2024-10-19T10:26:44Z,https://github.com/apache/hama,sophie
132600378,apache,myfaces,2018-05-08T11:41:08Z,73196,71,main,2025-02-06T18:54:34Z,https://github.com/apache/myfaces,sophie
64458355,apache,twill,2016-07-29T07:00:06Z,13155,70,master,2024-12-23T23:50:51Z,https://github.com/apache/twill,sophie
33397227,apache,incubator-myriad,2015-04-04T07:00:05Z,11984,68,master,2024-11-28T16:30:55Z,https://github.com/apache/incubator-myriad,sophie
121366401,apache,cordova,2018-02-13T10:02:11Z,772,68,master,2025-01-26T09:29:20Z,https://github.com/apache/cordova,sophie
206633,apache,shindig,2009-05-21T08:41:05Z,19236,68,trunk,2024-03-25T09:06:29Z,https://github.com/apache/shindig,sophie
47246083,apache,brooklyn,2015-12-02T08:00:06Z,793,67,master,2024-11-29T12:13:52Z,https://github.com/apache/brooklyn,sophie
23907761,apache,johnzon,2014-09-11T07:00:06Z,3414,66,master,2025-01-15T11:47:11Z,https://github.com/apache/johnzon,sophie
15895714,apache,datafu,2014-01-14T08:00:07Z,30426,65,main,2025-01-24T20:33:56Z,https://github.com/apache/datafu,sophie
4748416,apache,manifoldcf,2012-06-22T07:00:16Z,164607,65,trunk,2025-01-17T08:23:23Z,https://github.com/apache/manifoldcf,sophie
123152853,apache,incubator-nemo,2018-02-27T15:59:11Z,117375,64,master,2024-11-21T07:33:01Z,https://github.com/apache/incubator-nemo,sophie
49258459,apache,incubator-s2graph,2016-01-08T08:00:06Z,14439,64,master,2024-09-06T09:22:00Z,https://github.com/apache/incubator-s2graph,sophie
54701096,apache,joshua,2016-03-25T07:00:06Z,362742,63,master,2025-01-04T10:07:54Z,https://github.com/apache/joshua,sophie
54953350,apache,mnemonic,2016-03-29T07:00:06Z,3240,63,master,2025-01-07T17:20:49Z,https://github.com/apache/mnemonic,sophie
270479,apache,xmlbeans,2009-08-06T08:06:50Z,66675,63,trunk,2025-01-22T19:00:53Z,https://github.com/apache/xmlbeans,sophie
1302095,apache,openwebbeans,2011-01-28T08:00:11Z,24872,61,main,2024-12-11T17:24:57Z,https://github.com/apache/openwebbeans,sophie
56214716,apache,phoenix-omid,2016-04-14T07:00:06Z,5144,60,master,2025-01-09T06:43:29Z,https://github.com/apache/phoenix-omid,sophie
206451,apache,ode,2009-05-21T02:41:15Z,21659,60,master,2024-10-15T10:33:32Z,https://github.com/apache/ode,sophie
7728562,apache,oodt,2013-01-21T08:00:15Z,342509,60,master,2024-10-08T10:35:26Z,https://github.com/apache/oodt,sophie
165292138,apache,incubator-datalab,2019-01-11T18:39:39Z,254461,58,master,2024-04-02T17:43:52Z,https://github.com/apache/incubator-datalab,sophie
832679,apache,whirr,2010-08-12T03:32:41Z,9902,58,trunk,2023-12-08T19:43:22Z,https://github.com/apache/whirr,sophie
206346,apache,synapse,2009-05-21T01:01:59Z,45244,57,master,2025-01-02T03:24:26Z,https://github.com/apache/synapse,sophie
4544260,apache,any23,2012-06-04T07:00:25Z,40003,55,master,2024-08-23T01:58:32Z,https://github.com/apache/any23,sophie
1644192,apache,ftpserver,2011-04-21T07:00:07Z,10137,54,trunk,2024-10-27T12:45:16Z,https://github.com/apache/ftpserver,sophie
16132708,apache,marmotta,2014-01-22T08:00:07Z,21517,51,master,2024-07-29T13:18:24Z,https://github.com/apache/marmotta,sophie
60240214,apache,phoenix-tephra,2016-06-02T07:00:07Z,5417,50,master,2024-07-21T17:00:48Z,https://github.com/apache/phoenix-tephra,sophie
112582752,apache,incubator-crail,2017-11-30T08:00:09Z,1336,46,master,2025-01-29T15:32:28Z,https://github.com/apache/incubator-crail,sophie
10616263,apache,sis,2013-06-11T07:00:15Z,76660,46,main,2025-01-27T09:13:07Z,https://github.com/apache/sis,sophie
13824900,apache,sirona,2013-10-24T07:00:14Z,6855,46,trunk,2024-08-23T01:56:33Z,https://github.com/apache/sirona,sophie
1613090,apache,hcatalog,2011-04-14T07:00:07Z,3717,45,trunk,2025-01-22T15:05:40Z,https://github.com/apache/hcatalog,sophie
17856644,apache,streams,2014-03-18T07:00:06Z,148554,45,master,2025-01-06T21:00:56Z,https://github.com/apache/streams,sophie
75708591,apache,incubator-annotator,2016-12-06T08:00:07Z,3554,40,main,2025-01-29T02:37:12Z,https://github.com/apache/incubator-annotator,sophie
3956248,apache,chukwa,2012-04-07T07:00:24Z,49152,40,master,2024-08-13T18:36:11Z,https://github.com/apache/chukwa,sophie
64732665,apache,juneau,2016-08-02T07:00:07Z,365666,39,master,2025-01-24T13:03:40Z,https://github.com/apache/juneau,sophie
688363,apache,harmony,2010-05-26T23:38:08Z,57816,38,trunk,2024-12-06T18:44:28Z,https://github.com/apache/harmony,sophie
171950078,apache,incubator-training,2019-02-21T21:43:59Z,133722,35,develop,2025-01-29T05:16:03Z,https://github.com/apache/incubator-training,sophie
18461851,apache,allura,2014-04-05T07:00:06Z,43866,35,master,2025-02-04T18:48:16Z,https://github.com/apache/allura,sophie
26951044,apache,incubator-retired-tamaya,2014-11-21T08:00:09Z,7630,32,master,2023-01-28T11:29:06Z,https://github.com/apache/incubator-retired-tamaya,sophie
9290691,apache,bloodhound,2013-04-08T07:20:19Z,13026,30,trunk,2024-10-12T11:14:25Z,https://github.com/apache/bloodhound,sophie
32376873,apache,vxquery,2015-03-17T07:00:06Z,10192,29,master,2023-01-28T08:57:18Z,https://github.com/apache/vxquery,sophie
2580771,apache,directmemory,2011-10-15T07:00:08Z,4593,27,trunk,2024-08-26T06:47:10Z,https://github.com/apache/directmemory,sophie
1358036,apache,clerezza,2011-02-12T08:00:07Z,28754,26,master,2024-07-31T17:59:01Z,https://github.com/apache/clerezza,sophie
7770259,apache,openejb,2013-01-23T08:00:17Z,119120,26,trunk,2022-11-13T09:46:22Z,https://github.com/apache/openejb,sophie
806457,apache,deltacloud,2010-07-29T23:31:00Z,14089,25,master,2023-11-20T14:34:10Z,https://github.com/apache/deltacloud,sophie
160998,apache,stdcxx,2009-03-27T15:41:56Z,15270,25,trunk,2024-09-27T05:58:22Z,https://github.com/apache/stdcxx,sophie
105068223,apache,incubator-retired-amaterasu,2017-09-27T20:52:34Z,4663,24,master,2024-02-09T21:44:37Z,https://github.com/apache/incubator-retired-amaterasu,sophie
206482,apache,abdera,2009-05-21T03:21:27Z,12255,24,trunk,2023-04-13T17:28:01Z,https://github.com/apache/abdera,sophie
2807822,apache,lucy,2011-11-19T08:00:16Z,15711,24,master,2024-12-11T17:13:14Z,https://github.com/apache/lucy,sophie
1528544,apache,mrunit,2011-03-26T07:00:07Z,1038,24,trunk,2023-03-05T02:47:57Z,https://github.com/apache/mrunit,sophie
2226508,apache,pivot,2011-08-18T07:00:12Z,40601,24,trunk,2025-01-08T06:57:34Z,https://github.com/apache/pivot,sophie
688359,apache,ace,2010-05-26T23:38:08Z,180955,23,trunk,2023-07-25T13:41:55Z,https://github.com/apache/ace,sophie
2046220,apache,empire-db,2011-07-14T07:03:04Z,16510,23,master,2025-01-28T09:46:28Z,https://github.com/apache/empire-db,sophie
240468,apache,geronimo,2009-07-01T08:09:43Z,167877,22,trunk,2024-12-04T13:00:07Z,https://github.com/apache/geronimo,sophie
247823,apache,wink,2009-07-10T08:00:18Z,12526,22,trunk,2023-07-07T12:23:48Z,https://github.com/apache/wink,sophie
107229917,apache,vcl,2017-10-17T07:00:08Z,10006,19,develop,2025-01-28T19:12:53Z,https://github.com/apache/vcl,sophie
14135469,apache,incubator-batchee,2013-11-05T08:00:13Z,1601,17,master,2022-06-28T03:14:07Z,https://github.com/apache/incubator-batchee,sophie
206408,apache,sanselan,2009-05-21T01:48:24Z,30786,16,trunk,2025-01-15T12:39:06Z,https://github.com/apache/sanselan,sophie
78722367,apache,flagon,2017-01-12T08:00:06Z,6906,15,master,2024-11-08T23:05:17Z,https://github.com/apache/flagon,sophie
17049428,apache,juddi,2014-02-21T08:00:09Z,147462,14,master,2023-07-25T13:50:55Z,https://github.com/apache/juddi,sophie
920238,apache,npanday,2010-09-18T07:00:08Z,29902,14,trunk,2023-08-05T21:44:28Z,https://github.com/apache/npanday,sophie
51133768,apache,incubator-milagro,2016-02-05T08:00:06Z,20672,13,master,2024-07-09T18:20:10Z,https://github.com/apache/incubator-milagro,sophie
572068762,apache,ctakes,2022-11-29T13:43:35Z,133946,11,main,2025-02-03T18:49:18Z,https://github.com/apache/ctakes,sophie
17895094,apache,rave,2014-03-19T07:00:06Z,5901,11,master,2023-01-28T08:57:17Z,https://github.com/apache/rave,sophie
185667507,apache,datasketches,2019-05-08T19:29:09Z,56178,10,master,2025-02-01T03:14:51Z,https://github.com/apache/datasketches,sophie
14227128,apache,click,2013-11-08T08:00:11Z,122122,10,trunk,2024-10-07T04:28:28Z,https://github.com/apache/click,sophie
688361,apache,esme,2010-05-26T23:38:08Z,3406,8,trunk,2024-08-28T17:13:56Z,https://github.com/apache/esme,sophie
160996,apache,etch,2009-03-27T15:41:55Z,13740,8,trunk,2022-11-28T16:04:48Z,https://github.com/apache/etch,sophie
3050780,apache,lenya,2011-12-26T08:00:11Z,165564,7,trunk,2024-04-24T19:41:43Z,https://github.com/apache/lenya,sophie
206354,apache,pluto,2009-05-21T01:09:18Z,15069,7,trunk,2023-10-06T10:19:25Z,https://github.com/apache/pluto,sophie
4985530,apache,tashi,2012-07-11T07:00:13Z,835,7,trunk,2023-07-25T13:45:18Z,https://github.com/apache/tashi,sophie
206442,apache,chemistry,2009-05-21T02:28:25Z,3461,5,trunk,2023-06-23T05:04:37Z,https://github.com/apache/chemistry,sophie
16473331,apache,wookie,2014-02-03T08:00:07Z,85994,5,trunk,2024-02-23T15:04:22Z,https://github.com/apache/wookie,sophie
2719141,apache,kalumet,2011-11-06T07:00:10Z,6836,5,trunk,2022-06-28T19:48:18Z,https://github.com/apache/kalumet,sophie
832674,apache,photark,2010-08-12T03:32:41Z,3134,5,trunk,2024-06-06T04:08:39Z,https://github.com/apache/photark,sophie
832678,apache,nuvem,2010-08-12T03:32:41Z,407,3,trunk,2019-07-11T14:09:44Z,https://github.com/apache/nuvem,sophie
167555080,apache,onami,2019-01-25T13:52:00Z,1643,3,master,2023-01-28T08:57:22Z,https://github.com/apache/onami,sophie